n,k,requested,mapping,resolved,candidate_mapping,call_path,timing,timing_boundary,execution_schedule,cache,rotations,packed_ring_bytes,total_ring_bytes,samples,iterations_per_sample,calibration_us,calibration_wall_us,median_us,median_event_us,p10_us,p90_us,p10_event_us,p90_event_us,median_wall_us,p10_wall_us,p90_wall_us,effective_gbps,effective_wall_gbps,effective_tflops,effective_wall_tflops,correct,correctness_max_abs,correctness_relative_l2,speedup_vs_old,speedup_vs_old_wall,latency_ratio_vs_auto,latency_ratio_vs_auto_wall
4096,4096,selected,split8,split8,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,8,71303168,71335936,30,1,,,45.01999914646149,45.01999914646149,43.6080988496542,52.27600000798703,43.6080988496542,52.27600000798703,69.5195012667682,67.36099749105051,74.77499966626057,198.70422411376518,128.67848354769797,0.7453228040018152,0.4826621507430136,True,9.5367431640625e-07,1.679710181895155e-07,1.8694135952742599,1.5709117383483238,1.0162528195633749,1.005787096645327
4096,4096,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,8,71303168,71335936,30,1505,66.18032932281494,66.46326997724827,42.40085056849888,42.40085056849888,42.27988182904317,42.614006473376506,42.27988182904317,42.614006473376506,42.41812126214989,42.29647441898848,42.63068372198068,210.97840916064206,210.89250852753597,0.7913622380238003,0.791040031986069,True,7.152557373046875e-06,1.1054492264509916e-06,1.0,1.0,2.397550556971161,2.3965778633219674
4096,4096,auto,auto,runtime-guarded:split8,split8,public:q4_group64_gemv,batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,8,71303168,71335936,30,3574,27.731499671936035,27.983709987893235,17.685070475453962,17.685070475453962,17.61292349244872,18.108620240692325,17.61292349244872,18.108620240692325,17.699454672986455,17.623105204503457,18.115947677239184,505.83140239198684,505.4203174775319,1.897330974539907,1.8957890296593138,True,9.5367431640625e-07,1.679710181895155e-07,2.397550556971161,2.3965778633219674,1.0,1.0
4096,4096,selected,split8,split8,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,8,71303168,71335936,30,3606,27.4780011177063,27.73332002107054,17.848949464109296,17.848949464109296,17.63906706324962,18.095667918919858,17.63906706324962,18.095667918919858,17.85727495827458,17.652924542846986,18.103023516251668,501.18714370209625,500.9534781148016,1.8799107514686686,1.8790342915368383,True,9.5367431640625e-07,1.679710181895155e-07,2.3755375997763117,2.3753972182913876,1.0092665160075438,1.0089166750164906
4096,12288,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,3,80216064,80281600,30,1,,,222.92250394821167,222.92250394821167,211.1899957060814,228.46300154924393,211.1899957060814,228.46300154924393,248.2880008756183,235.7959994697012,255.1788988057524,120.24009925093536,107.956179539372,0.4515618397296741,0.4054295642358811,True,3.62396240234375e-05,1.8982629152416807e-06,1.0,1.0,2.3172575953308114,2.023883460130343
4096,12288,auto,auto,runtime-guarded:split8,split8,public:q4_group64_gemv,integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,3,80216064,80281600,30,1,,,96.20100259780884,96.20100259780884,87.76099979877472,103.79600003361702,87.76099979877472,103.79600003361702,122.67900092410855,112.43289918638766,129.35600061609875,278.6272832525606,218.49072618859668,1.046385102875142,0.820542189304852,True,1.9073486328125e-06,1.9078775106768365e-07,2.3172575953308114,2.023883460130343,1.0,1.0
4096,12288,selected,split8,split8,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,3,80216064,80281600,30,1,,,97.59100154042244,97.59100154042244,87.83299922943115,108.58390256762505,87.83299922943115,108.58390256762505,122.33400229888503,111.99210093764123,132.9610007815063,274.6587654282615,219.1068999321401,1.0314813293344982,0.8228562305519981,True,1.9073486328125e-06,1.9078775106768365e-07,2.2842526506491136,2.02959108841223,1.0144489028708445,0.9971877939775777
4096,12288,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,3,80216064,80281600,30,504,198.39038848876953,198.73840999935055,125.89968953813826,125.89968953813826,125.18894180418954,127.98338693285746,125.18894180418954,127.98338693285746,126.04066369166259,125.29439861267862,128.09808155098938,212.9014304827202,212.66330416643993,0.7995515824485532,0.7986572987766545,True,3.62396240234375e-05,1.8982629152416807e-06,1.0,1.0,2.6209583606443867,2.62283758174113
4096,12288,auto,auto,runtime-guarded:split8,split8,public:q4_group64_gemv,batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,3,80216064,80281600,30,1352,73.70380878448486,74.00721999147208,48.03574579001884,48.03574579001884,47.610466861160546,49.58125458666559,47.610466861160546,49.58125458666559,48.055077664394474,47.63486471826242,49.617107913827404,558.0057842168352,557.7813064249837,2.095591404784985,2.094748378163264,True,1.9073486328125e-06,1.9078775106768365e-07,2.6209583606443867,2.62283758174113,1.0,1.0
4096,12288,selected,split8,split8,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,3,80216064,80281600,30,1364,73.0177116394043,73.31943001190666,49.27929685262641,49.27929685262641,47.77302392417035,50.01439964316808,47.77302392417035,50.01439964316808,49.341810483538296,47.80278152332056,50.08236378263355,543.9246440581352,543.2355184644589,2.042709665704879,2.040121653695376,True,1.9073486328125e-06,1.9078775106768365e-07,2.5548191142956265,2.5544393782168373,1.0258880348822639,1.02677620933484
4096,14336,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,3,93585408,93659136,30,1,,,245.58299779891968,245.58299779891968,239.53100442886353,250.01890212297442,239.53100442886353,250.01890212297442,271.843002337846,268.66100160987116,278.0521012027748,127.32503585448761,115.02545120193719,0.4782110856719765,0.43201594666779447,True,4.9114227294921875e-05,2.0215339270543494e-06,1.0,1.0,2.4469963030685715,2.1774527606511
4096,14336,auto,auto,runtime-guarded:split8,split8,public:q4_group64_gemv,integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,3,93585408,93659136,30,1,,,100.36100074648857,100.36100074648857,99.17789995670319,109.40999910235406,99.17789995670319,109.40999910235406,124.84450053307228,123.47400006547105,140.02499883645214,311.5638920240045,250.46248626479655,1.1701807587257345,0.9406943157170876,True,1.9073486328125e-06,2.0124142604797145e-07,2.4469963030685715,2.1774527606511,1.0,1.0
4096,14336,selected,split8,split8,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,3,93585408,93659136,30,1,,,100.30100122094154,100.30100122094154,91.12899675965309,107.97689780592918,91.12899675965309,107.97689780592918,125.57400077639613,123.74400066619273,133.36099982552696,311.7502678873705,249.0074681595837,1.1708807546327857,0.9352295162524998,True,1.9073486328125e-06,2.0124142604797145e-07,2.448460083244365,2.1648032288300216,0.9994021629407763,1.0058432709507346
4096,14336,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,3,93585408,93659136,30,431,232.09697723388672,232.36959998030216,147.1320990896557,147.1320990896557,146.87215269579966,149.28229347459126,146.87215269579966,149.28229347459126,147.22751739880977,146.9593060345647,149.48348491591065,212.52238086364935,212.38464488468503,0.7981977605609842,0.7976804477513347,True,4.9114227294921875e-05,2.0215339270543494e-06,1.0,1.0,2.601594473658168,2.6022614830046114
4096,14336,auto,auto,runtime-guarded:split8,split8,public:q4_group64_gemv,batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,3,93585408,93659136,30,1201,82.94583320617676,83.28676001838176,56.55458626600229,56.55458626600229,56.25617720503096,58.10314689845864,56.25617720503096,58.10314689845864,56.57675770108183,56.27602248032258,58.133967358208565,552.8970515835466,552.6803809650282,2.076586882761782,2.0757731049291706,True,1.9073486328125e-06,2.0124142604797145e-07,2.601594473658168,2.6022614830046114,1.0,1.0
4096,14336,selected,split8,split8,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,3,93585408,93659136,30,1208,82.52242088317871,82.80506001028698,57.82692321878395,57.82692321878395,56.3323974609375,58.6699820512178,56.3323974609375,58.6699820512178,57.86035471949117,56.35292383964127,58.70841283190534,540.7319334922339,540.4195005646343,2.0308967771927335,2.0297233324848305,True,1.9073486328125e-06,2.0124142604797145e-07,2.5443528878925843,2.544531883922479,1.0224975026215783,1.0226877090622815
8192,3072,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,6,80216064,80261120,30,1,,,69.9009969830513,69.9009969830513,67.79299899935722,76.44309774041176,67.79299899935722,76.44309774041176,94.34499952476472,92.6988974242704,99.55390123650432,191.9057034802029,142.18453619769048,0.7200419188899948,0.533485062838846,True,9.059906005859375e-06,9.805469364069864e-07,1.0,1.0,1.258547656630743,1.1750602825787935
8192,3072,auto,auto,runtime-guarded:split4,split4,public:q4_group64_gemv,integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,6,80216064,80261120,30,1,,,55.54100126028061,55.54100126028061,54.18089963495731,60.985000804066665,54.18089963495731,60.985000804066665,80.28949741856195,79.0918984421296,86.24710026197138,241.52247340908355,167.07540128279288,0.9062070696949065,0.6268771086909798,True,8.344650268554688e-07,1.724462763838487e-07,1.258547656630743,1.1750602825787935,1.0,1.0
8192,3072,selected,split4,split4,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,6,80216064,80261120,30,1,,,55.92099949717522,55.92099949717522,54.833000525832176,62.02009990811349,54.833000525832176,62.02009990811349,80.2294998720754,79.37610171211418,84.79900025122333,239.88126322165635,167.20034427971055,0.9000491488451032,0.6273459024455217,True,8.344650268554688e-07,1.724462763838487e-07,1.2499954866969476,1.1759390208738214,1.0068417606501876,0.9992527348107091
8192,3072,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,6,80216064,80261120,30,1876,53.05459976196289,53.318259997467976,33.87384984030652,33.87384984030652,33.70254634539964,33.98721446868962,33.70254634539964,33.98721446868962,33.89554904022003,33.75846321963965,34.029045788955855,396.01049373603223,395.75697635352185,1.4858555563445384,1.4849043436433822,True,9.059906005859375e-06,9.805469364069864e-07,1.0,1.0,1.2434209299546748,1.243577444238335
8192,3072,auto,auto,runtime-guarded:split4,split4,public:q4_group64_gemv,batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,6,80216064,80261120,30,2542,39.08684015274048,39.33924999728333,27.24246393499367,27.24246393499367,26.983096635219713,27.855314409329523,26.983096635219713,27.855314409329523,27.25648426421914,27.003762430892813,27.87187372149604,492.4077363930671,492.1544491932039,1.847543897648247,1.8465935486064395,True,8.344650268554688e-07,1.724462763838487e-07,1.2434209299546748,1.243577444238335,1.0,1.0
8192,3072,selected,split4,split4,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,6,80216064,80261120,30,2580,38.53262901306152,38.769750026403926,27.222101078477017,27.222101078477017,26.98214420052462,27.425302313279737,26.98214420052462,27.425302313279737,27.237913178227203,27.003467093609213,27.44152201571982,492.77607049244307,492.49000509785327,1.8489259096827908,1.8478525748526478,True,8.344650268554688e-07,1.724462763838487e-07,1.2443510419219135,1.2444253279768382,0.9992525324961339,0.9993186543865338
12288,4096,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,3,80216064,80281600,30,1,,,109.38100144267082,109.38100144267082,105.8011032640934,116.59999713301659,105.8011032640934,116.59999713301659,133.9940008620033,130.88400082779117,141.03700123087037,245.0537446765719,200.04047813756173,0.9202996377095708,0.7512522601938748,True,1.1920928955078125e-05,1.1058956655964316e-06,1.0,1.0,1.468980236882048,1.3545008904543812
12288,4096,auto,auto,runtime-guarded:split8,split8,public:q4_group64_gemv,integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,3,80216064,80281600,30,1,,,74.46049898862839,74.46049898862839,73.14100041985512,83.10700207948685,73.14100041985512,83.10700207948685,98.92500020214356,97.38310000102501,104.46989872434644,359.9791079038235,270.9550057642476,1.3519019798050684,1.01757185538847,True,1.1920928955078125e-06,1.6942499648085317e-07,1.468980236882048,1.3545008904543812,1.0,1.0
12288,4096,selected,split8,split8,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,3,80216064,80281600,30,1,,,74.20100271701813,74.20100271701813,72.67699912190437,82.89500325918198,72.67699912190437,82.89500325918198,98.8649990176782,97.05189913802315,111.20699819002766,361.2380293865275,271.1194484026353,1.3566298609723868,1.0181894199179655,True,1.1920928955078125e-06,1.6942499648085317e-07,1.474117564958244,1.3553229372716995,0.9965149807598,0.999393467936894
12288,4096,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,3,80216064,80281600,30,879,113.5546875,113.83535998902516,55.09136317126173,55.09136317126173,54.964332884353446,55.993262628375206,54.964332884353446,55.993262628375206,55.15471843062475,55.01149715736852,56.08633936461501,486.5413098723677,485.98242838851866,1.8272064840194542,1.82510760392363,True,1.1920928955078125e-05,1.1058956655964316e-06,1.0,1.0,1.154427784474756,1.1553905241303049
12288,4096,auto,auto,runtime-guarded:split8,split8,public:q4_group64_gemv,batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,3,80216064,80281600,30,1682,59.15256977081299,59.457919996930286,47.72179248641986,47.72179248641986,47.48718860458392,48.0309072487703,47.48718860458392,48.0309072487703,47.736862367069584,47.514620749181226,48.04658424350599,561.6768064114032,561.4994926539288,2.1093779331244873,2.1087120310915277,True,1.1920928955078125e-06,1.6942499648085317e-07,1.154427784474756,1.1553905241303049,1.0,1.0
12288,4096,selected,split8,split8,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,3,80216064,80281600,30,1715,58.065857887268066,58.32032002217602,47.50625565865297,47.50625565865297,47.24415370396205,48.28314200087122,47.24415370396205,48.28314200087122,47.54491224326669,47.25979714157669,48.30331492575284,564.2251452650063,563.7663997118012,2.1189482228045224,2.1172254033186473,True,1.1920928955078125e-06,1.6942499648085317e-07,1.15966544631743,1.1600551105956822,0.9954834716690865,0.9959789958056542
14336,4096,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,3,93585408,93659136,30,1,,,111.20150238275528,111.20150238275528,106.6130019724369,146.52899354696277,106.6130019724369,146.52899354696277,134.3494986940641,131.53700056136586,180.7298991479911,281.1910210742716,232.74269203790888,1.0561054435736854,0.8741417954035792,True,1.1920928955078125e-05,1.134917060156308e-06,1.0,1.0,1.3336551633364708,1.2447951823046908
14336,4096,auto,auto,runtime-guarded:split8,split8,public:q4_group64_gemv,integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,3,93585408,93659136,30,1,,,83.38100090622902,83.38100090622902,81.43300041556358,103.82299795746803,81.43300041556358,103.82299795746803,107.92899956868496,106.01499816402793,128.26700185541995,375.0118571395567,289.7169817654133,1.4084804778497995,1.0881274955695481,True,1.1920928955078125e-06,1.6994313198785315e-07,1.3336551633364708,1.2447951823046908,1.0,1.0
14336,4096,selected,split8,split8,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,3,93585408,93659136,30,1,,,83.8409997522831,83.8409997522831,81.85700178146362,92.36700162291528,81.85700178146362,92.36700162291528,109.55949801427778,106.30510187183972,117.52699865610339,372.95433132223013,285.40532374404495,1.4007527623357323,1.0719336445361876,True,1.1920928955078125e-06,1.6994313198785315e-07,1.326337981552124,1.226269754143595,1.0055168304656283,1.0151071394352653
14336,4096,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,3,93585408,93659136,30,1074,92.89575576782227,93.15480001532706,61.09620916554826,61.09620916554826,60.90892386836047,61.51944876161146,60.90892386836047,61.51944876161146,61.13747858389904,60.966037243963015,61.56233519664099,511.7971217375022,511.4516451163372,1.92222256673535,1.9209250155587663,True,1.1920928955078125e-05,1.134917060156308e-06,1.0,1.0,1.0833492770480606,1.0835640860563844
14336,4096,auto,auto,runtime-guarded:split8,split8,public:q4_group64_gemv,batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,3,93585408,93659136,30,1491,66.83095932006836,67.10896002914524,56.39567077759526,56.39567077759526,56.31161644345238,56.61629229724047,56.31161644345238,56.61629229724047,56.42257746508376,56.337482898951606,56.64298262994138,554.4550418296013,554.1906344025183,2.082438427998209,2.0814453588667807,True,1.1920928955078125e-06,1.6994313198785315e-07,1.0833492770480606,1.0835640860563844,1.0,1.0
14336,4096,selected,split8,split8,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,3,93585408,93659136,30,1528,65.19195079803467,65.45608001033543,56.39617480532661,56.39617480532661,56.34248793437219,56.73962238571407,56.34248793437219,56.73962238571407,56.427231022279514,56.37194175439346,56.766857526815016,554.4500865162696,554.1449302669827,2.082419816687776,2.0812737019406504,True,1.1920928955078125e-06,1.6994313198785315e-07,1.0833395948651776,1.0834747244598932,1.0000089373479277,1.0000824768630718
18944,3584,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,2,72138752,72228864,30,1,,,124.90200251340866,124.90200251340866,120.81400230526924,145.17690241336823,120.81400230526924,145.17690241336823,149.54399921407457,145.59489936800674,171.0130018182099,289.5028684277352,241.798321497589,1.0871770609556273,0.9080310324295503,True,9.715557098388672e-06,1.032396293375192e-06,1.0,1.0,1.4036850949323885,1.3172259265310893
18944,3584,auto,auto,runtime-guarded:split8,split8,public:q4_group64_gemv,integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,2,72138752,72228864,30,1,,,88.9814980328083,88.9814980328083,86.86899691820145,109.4250001013279,86.86899691820145,109.4250001013279,113.52949877618812,111.27689904242288,135.7910001388518,406.37086135218425,318.5030180683239,1.526054236015815,1.1960820180109961,True,9.5367431640625e-07,1.703562176801984e-07,1.4036850949323885,1.3172259265310893,1.0,1.0
18944,3584,selected,split8,split8,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,2,72138752,72228864,30,1,,,90.36099910736084,90.36099910736084,87.63700053095818,105.58099746704102,87.63700053095818,105.58099746704102,115.09400064824149,112.06299932382535,130.85299979138654,400.1669786434935,314.1735259556509,1.5027566465778317,1.179823372505861,True,9.5367431640625e-07,1.703562176801984e-07,1.3822556605976493,1.2993205412254425,1.0155032349988522,1.013780575876034
18944,3584,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,2,72138752,72228864,30,937,106.39681816101074,106.7635100116604,65.41490300360712,65.41490300360712,64.89931552361782,66.13189387855816,64.89931552361782,66.13189387855816,65.47525026592916,64.95537566429968,66.17607310620991,552.7714074269297,552.2619287919855,2.075835715792657,2.0739224584630613,True,9.715557098388672e-06,1.032396293375192e-06,1.0,1.0,1.2609674428885862,1.2615782372488187
18944,3584,auto,auto,runtime-guarded:split8,split8,public:q4_group64_gemv,batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,2,72138752,72228864,30,1349,73.88693809509277,74.16561998979887,51.87675809754187,51.87675809754187,51.4545613169405,52.49921715286062,51.4545613169405,52.49921715286062,51.89947664975106,51.476453670091786,52.53374573731573,697.0267481250603,696.7216306250256,2.617561254399864,2.616415439338565,True,9.5367431640625e-07,1.703562176801984e-07,1.2609674428885862,1.2615782372488187,1.0,1.0
18944,3584,selected,split8,split8,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,2,72138752,72228864,30,1413,70.41611194610596,70.79194001562428,52.265469604405794,52.265469604405794,51.697114268179405,52.92350947224157,51.697114268179405,52.92350947224157,52.296025123575625,51.71990311567069,52.95030283044438,691.8427840348321,691.4385541645861,2.5980937897964154,2.596575775675618,True,9.5367431640625e-07,1.703562176801984e-07,1.2515893093227441,1.2520119858289611,1.007492979922397,1.007640702747365
